term,estimate,std_error,z_value,p_value,odds_ratio
(Intercept),-1.6545646027971694,1.304191468217522,-1.2686516076190202,0.20456534921149075,0.19117527476736068
days_since_last,0.0012046066374220533,5.210653003903088e-4,2.3118151151491597,0.020787874095040716,1.0012053324674148
last3_avg_finish,0.018204657523686725,0.02624689004112638,0.6935929359692428,0.4879375250168269,1.0183713724274324
last5_avg_finish,0.024038643909884666,0.029668663482325424,0.810236832009816,0.417804072492636,1.0243299012381846
horse_win_rate,0.2413806773264306,0.26297715406934935,0.9178769850964941,0.35868327197731775,1.2730055474293152
horse_win_rate_distance,0.09116643376778191,0.16958641686552392,0.5375809894024337,0.5908663576571067,1.0954513101761716
horse_win_rate_track,0.21743985324199983,0.12899141764957425,1.6856924065499446,0.0918550602095006,1.242890671415091
jockey_win_rate,1.0204719107539735,0.4317741550547453,2.3634390775996916,0.01810620335968613,2.7745037732397595
jockey_trainer_win_rate,0.21034199577200205,0.2594117645258585,0.8108421611350431,0.41745631901779157,1.234100044791662
trainer_win_rate,0.6087634137441116,0.488280686878634,1.2467489091892436,0.2124895791914289,1.8381569531729183
last3_avg_last3f,0.0035867055165299034,0.0432371913528423,0.0829541745036157,0.9338879774143307,1.0035931454418312
horse_best_last3f,-0.016398761698036224,0.04620978846780766,-0.35487636368343306,0.7226822165412472,0.9837349660071383
last3_avg_popularity,-0.011634166605318267,0.01648701094171048,-0.7056565102340653,0.48040177250463556,0.9884332486177301
last_avg_body_weight,9.135639847604003e-4,7.981569795166637e-4,1.1445918637629695,0.2523782642352362,1.0009139814114432
last_body_weight_delta,0.005235935499716457,0.0038850868087045094,1.3477010315407576,0.1777545601807577,1.0052496669652238
last3_avg_margin,-0.009446584164986368,0.020332420719833745,-0.4646069592575109,0.6422129476805027,0.9905978946434183
last3_avg_time_index,-0.004205919899110147,0.0414941840116659,-0.1013616727088228,0.9192633604764999,0.9958029125947293
horse_best_time_index,0.020927066076602337,0.04033091510494823,0.5188839881799453,0.603841644204411,1.0211475726226988
horse_style_score,0.02149847436635565,0.05868103027881491,0.3663615697306026,0.7140952921825741,1.0217312315486506
last3_avg_style_score,0.0033963995323167003,0.06782323696912654,0.05007722550698601,0.9600608483755848,1.0034021738326346
style_front_ratio,-0.09259684999221617,0.14391848693237694,-0.6433978842184792,0.5199659559635517,0.9115609220209367
corner_pos_avg_last,-0.00634745039447155,0.023038884979696354,-0.2755103122423422,0.7829242042506083,0.9936726521130719
popularity_num,-0.4205834974425786,0.02141533425167881,-19.639361800276728,7.128842020332522e-86,0.6566635465064123
odds_num,-0.022826198915031532,0.0031083415553587,-7.34352982402457,2.080330141973027e-13,0.9774323478141056
