decile,feature,n,feat_min,feat_max,feat_mean,win_rate,top3_rate
1,horse_best_time_index,3634,59.756100000000004,62.3171,61.68720487066593,0.10704457897633461,0.3203082003302146
2,horse_best_time_index,3634,62.3171,63.1707,62.736691139240506,0.08035222894881673,0.26059438635112825
3,horse_best_time_index,3634,63.1707,63.7805,63.440807374793614,0.0682443588332416,0.2570170610897083
4,horse_best_time_index,3634,63.7805,64.4286,64.11039870665932,0.07649972482113374,0.2391304347826087
5,horse_best_time_index,3634,64.4286,65.0714,64.78324378095762,0.1053935057787562,0.30792515134837645
6,horse_best_time_index,3634,65.0714,65.5,65.29906392405063,0.11640066042927903,0.33351678591084205
7,horse_best_time_index,3633,65.5,65.9286,65.71480743187449,0.11973575557390587,0.3333333333333333
8,horse_best_time_index,3633,65.9286,66.3571,66.15320679878889,0.12138728323699421,0.35590421139554085
9,horse_best_time_index,3633,66.3571,67.1429,66.71079584365538,0.09716487751169832,0.3198458574181118
10,horse_best_time_index,3633,67.1429,75.8571,67.98456118909992,0.06496008808147537,0.2067162124965593
