decile,feature,n,feat_min,feat_max,feat_mean,win_rate,top3_rate
1,horse_style_score,3577,0,0,0,0.07604137545429131,0.24266144814090018
2,horse_style_score,3576,0,0,0,0.04893736017897092,0.20385906040268456
3,horse_style_score,3576,0,0,0,0.05285234899328859,0.19798657718120805
4,horse_style_score,3576,0,1,0.6230425055928411,0.06655480984340045,0.25083892617449666
5,horse_style_score,3576,1,1,1,0.08473154362416108,0.27992170022371365
6,horse_style_score,3576,1,1,1,0.09340044742729306,0.2975391498881432
7,horse_style_score,3576,1,2,1.8196308724832215,0.11577181208053691,0.33864653243847875
8,horse_style_score,3576,2,2,2,0.11241610738255034,0.3383668903803132
9,horse_style_score,3576,2,3,2.914149888143177,0.15576062639821028,0.3889821029082774
10,horse_style_score,3576,3,3,3,0.15044742729306487,0.39569351230425054
