decile,feature,n,feat_min,feat_max,feat_mean,win_rate,top3_rate
1,horse_win_rate,3634,0,0,0,0.07925151348376444,0.2506879471656577
2,horse_win_rate,3634,0,0,0,0.07429829389102917,0.24298293891029168
3,horse_win_rate,3634,0,0,0,0.07567418822234452,0.23858007705008255
4,horse_win_rate,3634,0,0.0455,0.023488029719317557,0.04623004953219593,0.20418271876719868
5,horse_win_rate,3634,0.0455,0.0714,0.05910305448541552,0.05393505778756191,0.21051183269124932
6,horse_win_rate,3634,0.0714,0.1042,0.08775602641717116,0.06466703357182169,0.2399559713813979
7,horse_win_rate,3633,0.1042,0.1429,0.12339810074318745,0.08422791081750619,0.29424717864024225
8,horse_win_rate,3633,0.1429,0.2,0.1733104321497385,0.10377098816405175,0.3330580787228186
9,horse_win_rate,3633,0.2,0.3333,0.25489889898155793,0.14065510597302505,0.3831544178364988
10,horse_win_rate,3633,0.3333,1,0.5298137902559867,0.23451692815854666,0.5370217451142306
