decile,feature,n,feat_min,feat_max,feat_mean,win_rate,top3_rate
1,horse_win_rate_track,3211,0,0,0,0.0766116474618499,0.26284646527561506
2,horse_win_rate_track,3211,0,0,0,0.07941451261289317,0.25848645281843663
3,horse_win_rate_track,3211,0,0,0,0.0738087823108066,0.25288072251635
4,horse_win_rate_track,3211,0,0,0,0.07879165369043911,0.25786359389598257
5,horse_win_rate_track,3211,0,0,0,0.07349735284957958,0.25350358143880414
6,horse_win_rate_track,3211,0,0.0769,0.042214450327000934,0.047648707567735905,0.20834630956088446
7,horse_win_rate_track,3211,0.0769,0.1304,0.1034267517907194,0.07038305823730925,0.2503892868265338
8,horse_win_rate_track,3211,0.1304,0.2,0.16767334163811898,0.08533167237620679,0.29430084085954533
9,horse_win_rate_track,3210,0.2,0.3333,0.2776593457943925,0.12429906542056075,0.36853582554517134
10,horse_win_rate_track,3210,0.3333,1,0.6357166978193146,0.20965732087227415,0.47725856697819313
