decile,feature,n,feat_min,feat_max,feat_mean,win_rate,top3_rate
1,jockey_win_rate,3870,0,0.0328,0.02008674418604651,0.03979328165374677,0.16563307493540053
2,jockey_win_rate,3870,0.0328,0.0493,0.04148325581395349,0.050645994832041345,0.203359173126615
3,jockey_win_rate,3870,0.0493,0.0562,0.05332589147286822,0.05167958656330749,0.21757105943152455
4,jockey_win_rate,3870,0.0562,0.0626,0.05912733850129199,0.06614987080103359,0.21989664082687338
5,jockey_win_rate,3870,0.0626,0.069,0.0667593023255814,0.07596899224806201,0.27260981912144705
6,jockey_win_rate,3870,0.069,0.0829,0.07596421188630491,0.09896640826873385,0.31937984496124033
7,jockey_win_rate,3870,0.0829,0.0915,0.08693979328165374,0.10568475452196383,0.3268733850129199
8,jockey_win_rate,3870,0.0915,0.113,0.10233467700258397,0.11627906976744186,0.3183462532299742
9,jockey_win_rate,3870,0.113,0.1912,0.14838935400516795,0.15064599483204133,0.3930232558139535
10,jockey_win_rate,3869,0.1912,1,0.22099149651072628,0.23804600672008272,0.5463944171620574
