decile,feature,n,feat_min,feat_max,feat_mean,win_rate,top3_rate
1,last3_avg_margin,3576,0,0.3167,0.1459699105145414,0.18120805369127516,0.4381991051454139
2,last3_avg_margin,3576,0.3167,0.6167,0.4720859899328859,0.10850111856823266,0.34675615212527966
3,last3_avg_margin,3576,0.6167,0.9,0.7547417225950783,0.10654362416107382,0.33221476510067116
4,last3_avg_margin,3576,0.9,1.2,1.0444927013422818,0.10067114093959731,0.3118008948545861
5,last3_avg_margin,3576,1.2,1.4833,1.3321031879194631,0.09284116331096197,0.29502237136465326
6,last3_avg_margin,3576,1.4833,1.8333,1.6496166666666667,0.08920581655480984,0.2732102908277405
7,last3_avg_margin,3576,1.8333,2.25,2.0351535514541386,0.07578299776286354,0.2681767337807606
8,last3_avg_margin,3576,2.25,2.9,2.563677572706935,0.07606263982102908,0.25615212527964204
9,last3_avg_margin,3575,2.9,3.9167,3.374478853146853,0.07076923076923076,0.23524475524475524
10,last3_avg_margin,3575,3.9167,10,5.4682189090909095,0.055384615384615386,0.1779020979020979
