decile,feature,n,feat_min,feat_max,feat_mean,win_rate,top3_rate
1,last3_avg_style_score,3710,0,0,0,0.06981132075471698,0.22371967654986524
2,last3_avg_style_score,3710,0,0.3333,0.13071469002695418,0.049326145552560645,0.19164420485175201
3,last3_avg_style_score,3710,0.3333,0.6667,0.38681474393530996,0.050673854447439354,0.21536388140161725
4,last3_avg_style_score,3710,0.6667,0.6667,0.6667,0.06711590296495958,0.254177897574124
5,last3_avg_style_score,3710,0.6667,1,0.9850868463611859,0.09245283018867924,0.2894878706199461
6,last3_avg_style_score,3710,1,1.3333,1.1892892452830188,0.09622641509433963,0.29137466307277626
7,last3_avg_style_score,3710,1.3333,1.6667,1.5258811859838275,0.11940700808625337,0.346900269541779
8,last3_avg_style_score,3710,1.6667,2,1.8906668194070082,0.11347708894878707,0.345822102425876
9,last3_avg_style_score,3709,2,2.6667,2.2809661633863576,0.12617956322458884,0.35481261795632246
10,last3_avg_style_score,3709,2.6667,3,2.8714067673227284,0.17255324885413859,0.4200593151792936
