decile,feature,n,feat_min,feat_max,feat_mean,win_rate,top3_rate
1,last3_avg_time_index,3577,59.756100000000004,64.878,63.62813349175286,0.11266424377970366,0.3324014537321778
2,last3_avg_time_index,3576,64.878,65.881,65.46300120246084,0.1493288590604027,0.3901006711409396
3,last3_avg_time_index,3576,65.881,66.4048,66.15834560961969,0.13870246085011187,0.36940715883668906
4,last3_avg_time_index,3576,66.4048,66.8291,66.62231126957495,0.10878076062639822,0.32550335570469796
5,last3_avg_time_index,3576,66.8291,67.1667,67.00448120805369,0.10822147651006711,0.33920581655480986
6,last3_avg_time_index,3576,67.1667,67.5064,67.34303425615212,0.09340044742729306,0.3053691275167785
7,last3_avg_time_index,3576,67.5068,67.8571,67.6872788590604,0.08808724832214765,0.28243847874720357
8,last3_avg_time_index,3576,67.8571,68.2513,68.04812628635347,0.06935123042505593,0.23965324384787473
9,last3_avg_time_index,3576,68.2516,68.7857,68.49482659395973,0.05676733780760626,0.21168903803131991
10,last3_avg_time_index,3576,68.7857,75.8571,69.36412964205816,0.031599552572706933,0.13870246085011187
