decile,feature,n,feat_min,feat_max,feat_mean,win_rate,top3_rate
1,last5_avg_finish,3577,1,2.8,1.9550977355325692,0.2538440033547666,0.586525020967291
2,last5_avg_finish,3576,2.8,3.6,3.1819624161073827,0.15967561521252796,0.44602908277404923
3,last5_avg_finish,3576,3.6,4.2,3.9185130313199106,0.1174496644295302,0.37080536912751677
4,last5_avg_finish,3576,4.2,4.8,4.547460039149888,0.09703579418344518,0.32941834451901564
5,last5_avg_finish,3576,4.8,5.4,5.117453691275168,0.0883668903803132,0.2891498881431767
6,last5_avg_finish,3576,5.4,6,5.689234507829977,0.06963087248322147,0.253076062639821
7,last5_avg_finish,3576,6,6.6,6.280643484340045,0.06543624161073826,0.23042505592841164
8,last5_avg_finish,3576,6.6,7.4,6.9971569351230425,0.04334451901565996,0.1965883668903803
9,last5_avg_finish,3576,7.4,8.4,7.8833100950783,0.04222595078299776,0.1493288590604027
10,last5_avg_finish,3576,8.4,12,9.495437583892617,0.019854586129753916,0.08305369127516779
