decile,feature,n,feat_min,feat_max,feat_mean,win_rate,top3_rate
1,last_body_weight_delta,3575,-39,-6,-9.191608391608392,0.09706293706293706,0.26853146853146853
2,last_body_weight_delta,3575,-6,-4,-4.7521678321678325,0.09118881118881118,0.29286713286713284
3,last_body_weight_delta,3575,-4,-2,-2.8576223776223775,0.0897902097902098,0.28307692307692306
4,last_body_weight_delta,3575,-2,-1,-1.5233566433566434,0.08755244755244755,0.28195804195804197
5,last_body_weight_delta,3575,-1,0,-0.33650349650349654,0.09706293706293706,0.2895104895104895
6,last_body_weight_delta,3574,0,1,0.6261891438164522,0.09541130386121992,0.29770565193060994
7,last_body_weight_delta,3574,1,3,1.85170677112479,0.08589815332960268,0.2926692781197538
8,last_body_weight_delta,3574,3,4,3.346670397313934,0.09429210968102966,0.2845551203133744
9,last_body_weight_delta,3574,4,7,5.161443760492445,0.09764969222160044,0.3049804141018467
10,last_body_weight_delta,3574,7,60,11.023503077783996,0.12115277000559597,0.33883603805260215
