decile,feature,n,feat_min,feat_max,feat_mean,win_rate,top3_rate
1,odds_num,3819,1,2.7,1.8781094527363185,0.4694946321026447,0.8025661167844985
2,odds_num,3819,2.7,4.8,3.684550929562713,0.20738413197172034,0.5773762765121759
3,odds_num,3819,4.8,7.9,6.229562712752029,0.11914113642314741,0.47106572401152136
4,odds_num,3819,7.9,12.9,10.19004975124378,0.08798114689709348,0.37077769049489395
5,odds_num,3819,12.9,20.7,16.544278606965175,0.04896569782665619,0.2841057868551977
6,odds_num,3819,20.7,33.3,26.581094527363184,0.028803351662738938,0.20345640219952868
7,odds_num,3819,33.3,56,43.414611154752556,0.018853102906520033,0.1358994501178319
8,odds_num,3819,56,96.8,74.21170463472113,0.008117308195862791,0.0793401413982718
9,odds_num,3819,96.8,174.1,130.51560617962818,0.003927729772191673,0.04346687614558785
10,odds_num,3819,174.1,913.8,282.53710395391465,2.618486514794449e-4,0.01335428122545169
