decile,feature,n,feat_min,feat_max,feat_mean,win_rate,top3_rate
1,trainer_win_rate,3814,0,0.0429,0.031175825904562138,0.0264813843733613,0.12401678028316727
2,trainer_win_rate,3814,0.0429,0.0579,0.0509650235972732,0.03959098059779759,0.1733088620870477
3,trainer_win_rate,3814,0.0579,0.0628,0.060514001048767696,0.058468799160985845,0.23046670162558994
4,trainer_win_rate,3814,0.0628,0.077,0.06989648662821185,0.05925537493445202,0.23335081279496592
5,trainer_win_rate,3814,0.077,0.0921,0.0839452805453592,0.08285264813843733,0.29181961195595174
6,trainer_win_rate,3814,0.0921,0.1074,0.09930891452543261,0.09570005243838489,0.30178290508652333
7,trainer_win_rate,3814,0.1074,0.1186,0.1124616937598322,0.0988463555322496,0.29811221814368116
8,trainer_win_rate,3813,0.1186,0.1524,0.13495082612116444,0.14607920272751115,0.4083398898505114
9,trainer_win_rate,3813,0.1524,0.1784,0.16592675059008655,0.1804353527406242,0.44322056123787046
10,trainer_win_rate,3813,0.1784,1,0.22148111723052713,0.2037765538945712,0.47442958300550747
