model_ev_decile,n,n_races,decile_min,decile_max,mean_pred_prob,hit_rate,mean_odds,mean_model_ev,empirical_ev,mean_realized_return,model_ev_gt_1,empirical_ev_gt_1,n_bets,total_stake,total_return,roi_pct,profit_yen,calibration_gap,is_stable_profitable
1,2816,1911,5.367083185464335e-9,0.03310986404517194,4.7580584867526665e-5,0,284.88607954545455,0.009723282303279424,0,0,FALSE,FALSE,2816,281600,0,0,-281600,4.7580584867526665e-5,FALSE
2,2816,2177,0.03313103257760489,0.16318806045705656,8.415504116124978e-4,0.0035511363636363635,131.55795454545455,0.0904705911780292,0.46718023631198347,0.3946377840909091,FALSE,FALSE,2816,281600,111130,39.463778409090914,-170470,-0.0027095859520238656,FALSE
3,2816,2255,0.16321874276812443,0.3628965213640749,0.007496040098069701,0.02166193181818182,73.43259943181818,0.26144438465398273,1.5906919621239024,0.9021306818181818,FALSE,TRUE,2816,281600,254040,90.21306818181817,-27560,-0.01416589172011212,FALSE
4,2816,2133,0.3629367352369748,0.5289091244799419,0.07936527845834669,0.13707386363636365,34.51079545454545,0.44826854276587996,4.730528070118802,0.6536931818181818,FALSE,TRUE,2816,281600,184080,65.36931818181819,-97520,-0.057708585178016955,FALSE
5,2816,2106,0.5289264368694575,0.6393673260957325,0.11900963368066352,0.16264204545454544,23.079403409090908,0.5845836252580603,3.7536813783251546,0.8456676136363637,FALSE,TRUE,2816,281600,238140,84.56676136363637,-43460,-0.04363241177388193,FALSE
6,2816,1955,0.6394983344729722,0.755628916698875,0.14856020638055503,0.1796875,14.392471590909091,0.6971769397458834,2.5861472389914772,0.8215198863636364,FALSE,TRUE,2816,281600,231340,82.15198863636364,-50260,-0.031127293619444968,FALSE
7,2815,1966,0.755642128948309,0.8695787713848708,0.14827262903881902,0.1492007104795737,14.434849023090587,0.8119498049333495,2.153689729910496,0.9306927175843694,FALSE,TRUE,2815,281500,261990,93.06927175843694,-19510,-9.2808144075468e-4,FALSE
8,2815,2020,0.8696461877856636,1.016228120409693,0.1426628955657289,0.1147424511545293,14.662238010657193,0.9374504452330056,1.6823811287539159,0.7266785079928952,FALSE,TRUE,2815,281500,204560,72.66785079928952,-76940,0.02792044441119959,FALSE
9,2815,2068,1.01622926003896,1.266824085165204,0.1428109263567384,0.09449378330373001,14.02817051509769,1.1304521705022708,1.3255749048014158,0.6829484902309059,TRUE,TRUE,2815,281500,192250,68.29484902309059,-89250,0.04831714305300838,FALSE
10,2815,1678,1.2670713873364086,3.6667470873613537,0.12922699544550936,0.05541740674955595,17.92170515097691,1.6143799690923646,0.9931744239972993,0.614955595026643,TRUE,FALSE,2815,281500,173110,61.4955595026643,-108390,0.07380958869595342,FALSE
