prob_decile,n,n_races,decile_min,decile_max,mean_pred_prob,hit_rate,mean_odds,mean_model_ev,empirical_ev,mean_realized_return,model_ev_gt_1,empirical_ev_gt_1,n_bets,total_stake,total_return,roi_pct,profit_yen,calibration_gap,is_stable_profitable
1,2805,1891,5.873725020570956e-12,1.8494495619429343e-4,4.684737491922182e-5,0,285.8997504456328,0.009768649170525827,0,0,FALSE,FALSE,2805,280500,0,0,-280500,4.684737491922182e-5,FALSE
2,2805,2142,1.8534450172599958e-4,0.0017006598775260947,7.540348959333139e-4,0.0035650623885918,135.76014260249553,0.09324173191212634,0.48399337826201616,0.4637789661319073,FALSE,FALSE,2805,280500,130089.99999999999,46.37789661319073,-150410,-0.0028110274926584863,FALSE
3,2804,2235,0.00170089688587327,0.006608620758430165,0.0037801581035562496,0.011768901569186876,78.53619828815977,0.2809650444859792,0.9242847872714952,0.7645506419400856,FALSE,FALSE,2804,280400,214380.00000000003,76.45506419400857,-66019.99999999997,-0.007988743465630627,FALSE
4,2804,2320,0.0066192779587294585,0.01744117096017437,0.011454722038916409,0.01783166904422254,47.67863766048502,0.52574988912433,0.8501896872411738,0.7565620542082739,FALSE,FALSE,2804,280400,212140,75.65620542082739,-68260,-0.006376947005306131,FALSE
5,2804,2352,0.01744667734164064,0.03669867031389997,0.026334772855932463,0.030670470756062766,29.634129814550644,0.76027913525573,0.9088927118585433,0.761055634807418,FALSE,FALSE,2804,280400,213400,76.10556348074181,-67000,-0.004335697900130303,FALSE
6,2804,2387,0.036699484991855345,0.06641170396412523,0.05095746331793445,0.05171184022824536,19.018473609129813,0.9472183921379825,0.9834802686604218,0.805848787446505,FALSE,FALSE,2804,280400,225960,80.5848787446505,-54440,-7.54376910310911e-4,FALSE
7,2804,2398,0.06641294182689562,0.1118043742616849,0.0886884774546232,0.07382310984308131,12.449001426533524,1.076110264452835,0.9190239997476602,0.750320970042796,TRUE,FALSE,2804,280400,210390,75.03209700427959,-70010,0.014865367611541891,FALSE
8,2804,2444,0.11183456015753941,0.1810771301518963,0.14618169077307056,0.11055634807417974,7.731526390870186,1.1080973477041864,0.854769322813751,0.7298145506419401,TRUE,FALSE,2804,280400,204640,72.98145506419401,-75760,0.03562534269889081,FALSE
9,2804,2460,0.18117220333019718,0.2835315474070302,0.2307003646806395,0.19151212553495006,4.490299572039943,1.01601472413797,0.859946815330046,0.7387303851640513,TRUE,FALSE,2804,280400,207140,73.87303851640513,-73260,0.039188239145689446,FALSE
10,2804,2532,0.2835977822054661,0.6300722512571649,0.35729234308267693,0.4247503566333809,2.1960770328102712,0.7649007742301358,0.9327845028805396,0.8115549215406562,FALSE,FALSE,2804,280400,227560,81.15549215406563,-52840,-0.06745801355070397,FALSE
