decile,n_races,win_prob_min,win_prob_max,prob_gap_mean,mean_model_ev,win_hit_rate,place_hit_rate,mean_pred_odds,win_roi_pct,place_roi_pct,actual_win_roi_pct,actual_place_roi_pct,share_skipped_win,n_bets,total_stake,total_return,roi_pct,profit_yen,is_stable_profitable
1,49,0.8526898185962715,0.9242985895178034,0.8023768340864698,2.154230692685213,0.46938775510204084,0.7551020408163265,2.4224489795918367,103.46938775510203,96.3265306122449,108.66666666666667,93,0.3877551020408163,49,4900,5070,103.46938775510203,170,FALSE
2,48,0.924320661783612,0.9667394601845646,0.9027480683561092,2.1000759339073016,0.3958333333333333,0.8333333333333334,2.222916666666667,78.33333333333333,96.45833333333333,84.35897435897436,100.51282051282051,0.1875,48,4800,3760,78.33333333333333,-1040,FALSE
3,48,0.9678186642402706,0.983288158889058,0.9581382586714451,2.0052561185603746,0.5416666666666666,0.8333333333333334,2.0520833333333335,103.95833333333333,98.33333333333333,118.37837837837837,106.75675675675676,0.22916666666666666,48,4800,4990,103.95833333333333,190,FALSE
4,48,0.9834396268920276,0.99264605389734,0.9795928413047101,1.763230245949398,0.4375,0.7916666666666666,1.7833333333333334,74.79166666666667,87.08333333333333,76.34146341463415,88.53658536585365,0.14583333333333334,48,4800,3590,74.79166666666667,-1210,FALSE
5,48,0.9926777561829312,0.9960654122054168,0.9905415711643032,1.7115541260750808,0.3541666666666667,0.6875,1.7208333333333334,54.58333333333333,72.5,60,76.58536585365854,0.14583333333333334,48,4800,2619.9999999999995,54.58333333333333,-2180.0000000000005,FALSE
6,48,0.9960705703332472,0.9979601987734188,0.9949169832485566,1.7095687096753611,0.6041666666666666,0.8958333333333334,1.7145833333333333,99.16666666666667,102.49999999999999,90.95238095238095,100.47619047619048,0.125,48,4800,4760,99.16666666666667,-40,FALSE
7,48,0.9979721537304196,0.9992463508246756,0.9979243601032004,1.5231226775058524,0.5833333333333334,0.9375,1.525,84.16666666666667,102.29166666666667,83.11111111111111,101.55555555555556,0.0625,48,4800,4040,84.16666666666667,-760,FALSE
8,48,0.9992468596146994,0.999772694132864,0.999209418448587,1.497227399465972,0.5625,0.8333333333333334,1.4979166666666668,76.04166666666666,90.625,80.95238095238095,92.85714285714286,0.125,48,4800,3649.999999999999,76.04166666666666,-1150.000000000001,FALSE
9,48,0.9997730099896708,0.999929352716636,0.9997734810552267,1.3560605242713684,0.5208333333333334,0.8125,1.35625,65,84.375,62.68292682926829,82.68292682926828,0.14583333333333334,48,4800,3120,65,-1680,FALSE
10,48,0.999931982425515,0.9999986627638848,0.9999526032307952,1.2332961426861877,0.7916666666666666,0.9791666666666666,1.2333333333333334,95.20833333333333,101.66666666666666,91.8918918918919,99.72972972972973,0.22916666666666666,48,4800,4570,95.20833333333333,-230,FALSE
