prob_bin,n,mean_pred,actual_win_rate,calibration_gap,mean_odds
1,18,0.6039116100093946,0.3333333333333333,0.2705782766760613,2.9444444444444446
2,18,0.8098039063508964,0.4444444444444444,0.36535946190645197,2.561111111111111
3,18,0.9323058575665618,0.3333333333333333,0.5989725242332284,2.1555555555555554
4,18,0.97318655233635,0.5555555555555556,0.4176309967807944,2.0166666666666666
5,18,0.9901677470727717,0.5555555555555556,0.4346121915172161,1.9055555555555554
6,18,0.9971942404936361,0.5,0.49719424049363614,2.0055555555555555
7,18,0.9992883939095988,0.4444444444444444,0.5548439494651544,1.6611111111111112
8,18,0.9998139795893835,0.3888888888888889,0.6109250907004946,1.738888888888889
9,18,0.9999805689801724,0.6666666666666666,0.33331390231350577,1.461111111111111
10,17,0.9999993552834465,0.4117647058823529,0.5882346494010936,1.2176470588235295
