date,snapshot,n_races,win_prof_match_pct,ex_prof_match_pct,mark_match_pct,win_conf_match_pct,ex_conf_match_pct,top3_live,top3_live_n,top3_final,top3_final_n
20260701,t_minus_30,12,92,83,83,67,67,9,12,10,12
20260701,t_minus_20,12,75,67,83,50,83,9,12,10,12
20260701,t_minus_10,12,75,67,83,58,75,9,12,10,12
20260702,t_minus_30,12,50,42,58,33,75,6,12,10,12
20260702,t_minus_20,12,58,50,58,50,75,7,12,10,12
20260702,t_minus_10,12,58,58,58,50,75,8,12,10,12
20260703,t_minus_30,12,67,75,75,58,83,10,12,9,12
20260703,t_minus_20,12,50,50,75,42,75,9,12,9,12
20260703,t_minus_10,12,58,58,83,58,67,10,12,9,12
20260708,t_minus_30,12,83,83,67,75,67,7,12,10,12
20260708,t_minus_20,12,75,83,58,83,67,7,12,10,12
20260708,t_minus_10,12,92,75,75,67,67,8,12,10,12
20260709,t_minus_30,12,83,75,92,83,83,9,12,10,12
20260709,t_minus_20,12,67,67,83,67,83,9,12,10,12
20260709,t_minus_10,12,83,75,83,67,83,10,12,10,12
20260710,t_minus_30,12,83,67,58,83,67,10,12,12,12
20260710,t_minus_20,12,67,67,50,58,75,10,12,12,12
20260710,t_minus_10,12,75,58,58,75,58,10,12,12,12
20260715,t_minus_30,12,75,75,83,75,75,10,12,11,12
20260715,t_minus_20,12,58,75,92,58,92,11,12,11,12
20260715,t_minus_10,12,58,67,83,58,83,10,12,11,12
20260716,t_minus_30,12,92,83,83,92,75,8,12,9,12
20260716,t_minus_20,12,75,67,83,58,75,8,12,9,12
20260716,t_minus_10,12,75,83,83,67,75,9,12,9,12
20260717,t_minus_30,12,67,58,58,50,42,8,12,8,12
20260717,t_minus_20,12,83,50,75,67,67,8,12,8,12
20260717,t_minus_10,12,50,50,67,33,58,7,12,8,12
20260722,t_minus_30,12,67,83,75,42,92,6,12,6,12
20260722,t_minus_20,12,50,67,75,33,83,5,12,6,12
20260722,t_minus_10,12,58,67,75,33,83,5,12,6,12
20260723,t_minus_30,12,92,92,83,67,83,7,12,5,12
20260723,t_minus_20,12,67,58,83,50,100,8,12,5,12
20260723,t_minus_10,12,58,50,83,42,100,6,12,5,12
20260724,t_minus_30,12,75,67,67,42,67,5,12,5,12
20260724,t_minus_20,12,58,58,83,42,75,6,12,5,12
20260724,t_minus_10,12,50,67,83,33,92,7,12,5,12
20260729,t_minus_30,12,67,58,58,58,58,6,12,9,12
20260729,t_minus_20,12,67,58,75,50,58,8,12,9,12
20260729,t_minus_10,12,58,75,67,50,58,8,12,9,12
20260730,t_minus_30,10,70,60,50,50,60,9,10,7,10
20260730,t_minus_20,10,100,70,50,60,70,8,10,7,10
20260730,t_minus_10,9,78,56,44,67,56,6,9,6,9
20260731,t_minus_30,11,100,100,91,91,82,10,11,10,11
20260731,t_minus_20,11,91,73,100,82,64,10,11,10,11
20260731,t_minus_10,11,73,82,91,64,82,10,11,10,11
