date,race_no,race_name,win_profile,exotic_profile,is_volatile,win_prob_top,prob_gap,exotic_prob_top,exotic_prob_gap,pred_umaban,actual_1st,pred_odds,sanrenpuku_invest_yen,sanrenpuku_return_yen,sp_loss,sanrenpuku_hit,wide_hit,win_hit
20260701,7,C3一,堅,堅,TRUE,0.998291206336796,0.9966741552627116,0.9999977720766106,0.9999955597772298,3,3,1.4,600,0,600,FALSE,TRUE,TRUE
20260701,8,3歳B,堅,堅,TRUE,0.9997136976415696,0.9994840044228004,0.9999803652152705,0.9999639751434302,2,6,1.6,600,0,600,FALSE,FALSE,FALSE
20260701,10,B2一,堅,堅,TRUE,0.999999937974471,0.999999912516624,0.9999999986832392,0.9999999980220776,7,5,1.2,600,0,600,FALSE,TRUE,FALSE
20260702,1,C3二,堅,堅,FALSE,0.9936729630864652,0.990123494543538,0.9997285935502186,0.9995911025211566,9,3,1.6,600,0,600,FALSE,FALSE,FALSE
20260702,2,C3一,堅,堅,FALSE,0.97053615261511,0.9475468115279918,0.9674634567954922,0.9371978852693168,2,2,1.5,600,0,600,FALSE,FALSE,TRUE
20260702,3,C2二,堅,堅,TRUE,0.9999977667312836,0.9999960931776192,0.99999951186183,0.9999990946745048,8,1,1.3,600,0,600,FALSE,FALSE,FALSE
20260702,8,C1二,堅,堅,TRUE,0.9999957741597256,0.9999916791681448,0.999999997549103,0.9999999955882336,10,2,1.5,600,0,600,FALSE,FALSE,FALSE
20260702,11,小野ひまわり特別B1,堅,堅,TRUE,0.9997299286082392,0.9995198143925652,0.9990804867937384,0.9982574273377228,8,5,1.9,600,0,600,FALSE,FALSE,FALSE
20260703,3,C3二,堅,堅,FALSE,0.9992973100908988,0.9990135508361464,0.999456041803194,0.9992023102304136,3,1,1.2,600,0,600,FALSE,FALSE,FALSE
20260703,5,3歳C1C2,堅,堅,TRUE,0.9976564940478808,0.996481539445854,0.9934260013473984,0.9899108779137828,7,7,2.1,600,0,600,FALSE,TRUE,TRUE
20260703,11,オッズパーク杯A1,堅,堅,TRUE,0.5298530589400199,0.06149484064359495,0.9664507759348788,0.9331289753040696,1,6,1.4,600,0,600,FALSE,FALSE,FALSE
20260703,12,C1,堅,堅,TRUE,0.999999538482874,0.9999993017485964,0.9999991362200404,0.9999986020209318,10,11,1.6,600,0,600,FALSE,FALSE,FALSE
20260708,5,糺の森7ハロンC2二,荒,堅,TRUE,0.8096141886717008,0.6287647657742208,0.9429244369987556,0.8903720599943152,6,6,1.7,600,0,600,FALSE,TRUE,TRUE
20260708,7,C3一,堅,堅,FALSE,0.999375249710176,0.9988590486875688,0.9999923970239588,0.9999882993938654,1,5,1.6,600,0,600,FALSE,TRUE,FALSE
20260708,11,京都畜産特別A2B1,堅,堅,TRUE,0.997429023129767,0.9948782325354404,0.9736677096064512,0.947397949540768,4,3,1.8,600,0,600,FALSE,FALSE,FALSE
20260709,1,C3四,堅,堅,FALSE,0.9998369430502886,0.999689514121101,0.9999997613876624,0.9999995545454704,2,2,1,600,0,600,FALSE,TRUE,TRUE
20260709,5,乃井野7ハロンC2一,堅,堅,TRUE,0.9999982704043604,0.9999968475089648,0.9999999770548964,0.9999999543386748,8,8,1,600,0,600,FALSE,FALSE,TRUE
20260709,8,B1,堅,堅,TRUE,0.999979579693372,0.9999698855838032,0.9999992346987052,0.9999986159312676,2,2,1.6,600,0,600,FALSE,TRUE,TRUE
20260710,1,C3,堅,堅,FALSE,0.998096106075582,0.9965359929624096,0.912433871356699,0.8280118356829005,9,11,2.2,600,0,600,FALSE,FALSE,FALSE
20260710,3,C3三,堅,堅,FALSE,0.9950854695126266,0.9901918098052346,0.9972198099698196,0.994439673394262,9,9,2.2,600,0,600,FALSE,TRUE,TRUE
20260710,4,C3二,堅,堅,TRUE,0.999991175603565,0.9999827901046456,0.999999093821304,0.999998390646336,9,9,1.4,600,0,600,FALSE,TRUE,TRUE
20260710,5,C3一,堅,堅,FALSE,0.9999995638799604,0.9999992054456504,0.9999999997874676,0.9999999995963642,10,8,1.3,600,0,600,FALSE,FALSE,FALSE
20260710,9,C2一,荒,堅,TRUE,0.5636785838729098,0.12757640767752598,0.946795999643648,0.8935922999176207,10,1,3.1,600,0,600,FALSE,FALSE,FALSE
20260715,1,C3三,堅,堅,FALSE,0.999992072801915,0.9999875930921044,0.9999992818400744,0.9999986033310124,3,4,1.3,600,0,600,FALSE,TRUE,FALSE
20260715,3,C3,堅,堅,FALSE,0.999999225215612,0.999998634011732,0.9999999335456364,0.9999998979758572,2,2,1,600,0,600,FALSE,TRUE,TRUE
20260715,4,出雲7ハロンC3一,堅,堅,TRUE,0.988362533634608,0.9767301663627312,0.9999714943079206,0.9999432731167776,10,8,1.7,600,0,600,FALSE,FALSE,FALSE
20260715,8,C2一,堅,堅,FALSE,0.9999999962240363,0.9999999943316172,0.9999999999995988,0.9999999999992876,10,10,1.3,600,0,600,FALSE,FALSE,TRUE
20260715,9,C1二,堅,堅,FALSE,0.948906384048526,0.9008139282855956,0.999789915128611,0.9997064157430304,10,3,4.7,600,0,600,FALSE,FALSE,FALSE
20260715,11,福山競馬記念B1,堅,堅,TRUE,0.9999997927081444,0.9999995877304824,0.9999986233980694,0.999997247005366,7,8,1,600,0,600,FALSE,TRUE,FALSE
20260715,12,C1一,堅,堅,TRUE,0.978070398776448,0.9561518481198528,0.993023272329182,0.9860597334209282,6,11,2.5,600,0,600,FALSE,FALSE,FALSE
